id,label,timeset,weight,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
668,0601,"<[95.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21339733333333333,0.21798960311908047,120135.0,0.0,0.16851937744934564
669,2601,"<[95.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21339733333333333,0.21798960311908047,128306.0,0.0,0.17171133016610074
670,3601,"<[95.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21339733333333333,0.21798960311908047,102970.0,0.0,0.1430119115703704
671,5601,"<[95.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21339733333333333,0.21798960311908047,122044.0,0.0,0.16895800939257669
672,4601,"<[95.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21339733333333333,0.21798960311908047,103320.0,0.0,0.14392163716055276
679,7145,"<[96.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21345653194485936,0.2180579159585622,191686.0,0.0,0.17541300581324706
680,0534,"<[97.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.2134155447931557,0.21800959712088053,180834.0,0.0,0.18615694216168202
681,3534,"<[97.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134155447931557,0.21800959712088053,127445.0,0.0,0.1407095578995199
682,4534,"<[97.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21339278095400632,0.217981272284998,190432.0,3.246753185521811E-4,0.20286627854467357
683,6534,"<[97.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.21800959712088053,179716.0,0.0,0.19084373462821516
684,7534,"<[97.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.21800959712088053,137670.0,0.0,0.13545678954204027
685,2534,"<[97.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.21800959712088053,188927.0,0.0,0.20253451125873834
686,1534,"<[97.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.21800959712088053,163134.0,0.0,0.17399972487239426
696,3064,"<[99.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21344742232843975,0.21804791895766257,123243.0,0.0,0.11235022429046812
699,7064,"<[99.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21344742232843975,0.21804791895766257,194686.0,0.0,0.1894737359589885
701,1654,"<[100.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21345197703945543,0.21805291745811242,180390.0,0.0,0.17399972487239412
709,5715,"<[101.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21340188590689935,0.2179946016195306,152275.0,5.285412189550698E-4,0.13623184175939218
